{ 2,0,0,2,0,0,2} in_90 test 20% win=100 
[data I : 55520 answer: 12.0,forecast :13.303251971637733 (rmse:1.3, mape: 0.11, smape: 0.11) ] 
[data I : 55521 answer: 12.0,forecast :15.241523614798657 (rmse:3.24, mape: 0.28, smape: 0.25) ] 
[data I : 55522 answer: 8.0,forecast :13.082773134096394 (rmse:5.08, mape: 0.67, smape: 0.51) ] 
[data I : 55523 answer: 12.0,forecast :14.28009504007454 (rmse:2.28, mape: 0.25, smape: 0.22) ] 
[data I : 55524 answer: 12.0,forecast :13.754702603008967 (rmse:1.75, mape: 0.17, smape: 0.16) ] 
[data I : 55525 answer: 20.0,forecast :16.16400761578294 (rmse:3.84, mape: 0.2, smape: 0.22) ] 
[data I : 55526 answer: 16.0,forecast :13.3516284930348 (rmse:2.65, mape: 0.18, smape: 0.19) ] 
[data I : 55527 answer: 16.0,forecast :13.655707716029989 (rmse:2.34, mape: 0.16, smape: 0.17) ] 
[data I : 55528 answer: 16.0,forecast :10.281445896747558 (rmse:5.72, mape: 0.37, smape: 0.45) ] 
[data I : 55529 answer: 12.0,forecast :12.489911721864273 (rmse:0.49, mape: 0.07, smape: 0.07) ] 
[data I : 55530 answer: 12.0,forecast :11.994152582574168 (rmse:0.01, mape: 0.01, smape: 0.01) ] 
[data I : 55531 answer: 16.0,forecast :15.290817842969473 (rmse:0.71, mape: 0.04, smape: 0.05) ] 
[data I : 55532 answer: 12.0,forecast :14.835975708994017 (rmse:2.84, mape: 0.24, smape: 0.21) ] 
[data I : 55533 answer: 12.0,forecast :14.84814706106199 (rmse:2.85, mape: 0.26, smape: 0.23) ] 
[data I : 55534 answer: 12.0,forecast :14.731243720538968 (rmse:2.73, mape: 0.25, smape: 0.22) ] 
[data I : 55535 answer: 12.0,forecast :13.514549511058487 (rmse:1.51, mape: 0.15, smape: 0.14) ] 
[data I : 55536 answer: 16.0,forecast :12.877953974508507 (rmse:3.12, mape: 0.2, smape: 0.23) ] 
[data I : 55537 answer: 16.0,forecast :15.432657623953572 (rmse:0.57, mape: 0.05, smape: 0.05) ] 
